species,year,season,prey.species,prey.sex,prey.age,prey.mass,prey.size,edible.biomass
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2014,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2014,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,wet,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2013,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2014,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2014,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2014,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2013,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2015,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
leopard,2015,dry,"Canerat, greater",unknown,adult,4.1,small,3.7
