"species","year","prey.species","prey.sex","prey.age","prey.mass","prey.size","edible.biomass","nonedible.biomass","prey.taste"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2014,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2014,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2014,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2014,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2014,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2013,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2014,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2014,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2014,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2013,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2014,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2014,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2014,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2014,"Canerat, greater",NA,"subadult",2.8,"small",2.5,0.3,"delicious"
"leopard",2014,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2015,"Canerat, greater",NA,"adult",4.1,"small",3.7,0.399999999999999,"delicious"
"leopard",2014,"Civet, African",NA,"adult",12.5,"small",11.3,1.2,"delicious"
"leopard",2015,"Civet, African",NA,"adult",12.5,"small",11.3,1.2,"delicious"
"leopard",2015,"Civet, African",NA,"adult",12.5,"small",11.3,1.2,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"subadult",11.5,"small",10.4,1.1,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2013,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"subadult",11.5,"small",10.4,1.1,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2013,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"subadult",11.5,"small",10.4,1.1,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2013,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2013,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"subadult",11.5,"small",10.4,1.1,"delicious"
"leopard",2014,"Duiker, common",NA,"juvenile",4.9,"small",4.4,0.5,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2013,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"juvenile",4.9,"small",4.4,0.5,"delicious"
"leopard",2013,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"subadult",11.5,"small",10.4,1.1,"delicious"
"leopard",2013,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2015,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
"leopard",2014,"Duiker, common",NA,"adult",16.5,"small",14.9,1.6,"delicious"
